key	en	tr	es	de	fr	ja	zh	pt
settings.public_ip	Show public egress IP	Herkese açık çıkış IP'sini göster	Mostrar IP pública de salida	Öffentliche Ausgangs-IP anzeigen	Afficher l'IP publique de sortie	グローバルIPを表示	显示公网出口 IP	Mostrar IP público de saída
settings.public_ip.detail	The only lookup that reveals this device's own address to a third party. Off by default.	Bu cihazın kendi adresini üçüncü tarafa açıklayan tek sorgu. Varsayılan olarak kapalı.	La única consulta que revela la dirección de este dispositivo a un tercero. Desactivada por defecto.	Die einzige Abfrage, die die Adresse dieses Geräts einem Dritten offenlegt. Standardmäßig aus.	La seule requête qui révèle l'adresse de cet appareil à un tiers. Désactivée par défaut.	この端末自身のアドレスを第三者に明かす唯一の照会です。既定ではオフ。	唯一会向第三方暴露本机地址的查询。默认关闭。	A única consulta que revela o endereço deste dispositivo a terceiros. Desativada por padrão.
settings.rdap	RDAP ownership	RDAP sahipliği	Propiedad RDAP	RDAP-Eigentum	Propriété RDAP	RDAP所有者	RDAP 所有权	Propriedade RDAP
settings.rdap.detail	Who owns the address block and where to send an abuse report, via rdap.org.	Adres bloğunun sahibi ve kötüye kullanım bildirim adresi, rdap.org üzerinden.	Quién posee el bloque y dónde reportar abuso, vía rdap.org.	Wem der Adressbereich gehört und wohin Missbrauch zu melden ist, über rdap.org.	Qui possède le bloc et où signaler un abus, via rdap.org.	アドレスブロックの所有者とabuse連絡先をrdap.org経由で取得。	通过 rdap.org 查询地址块所有者及滥用举报方式。	Quem detém o bloco e para onde reportar abuso, via rdap.org.
settings.refresh	Poll every {ms} ms	Her {ms} ms'de bir yokla	Sondear cada {ms} ms	Alle {ms} ms abfragen	Sonder toutes les {ms} ms	{ms} msごとに取得	每 {ms} 毫秒轮询	Sondar a cada {ms} ms
settings.threat	Threat intelligence	Tehdit istihbaratı	Inteligencia de amenazas	Bedrohungsinformationen	Renseignement sur les menaces	脅威インテリジェンス	威胁情报	Inteligência de ameaças
settings.threat.detail	5 DNS blacklists, CIRCL passive DNS, and AbuseIPDB when you provide a key.	5 DNS kara listesi, CIRCL pasif DNS ve anahtar girerseniz AbuseIPDB.	5 listas negras DNS, DNS pasivo CIRCL y AbuseIPDB si aporta clave.	5 DNS-Blacklists, passives CIRCL-DNS und AbuseIPDB mit eigenem Schlüssel.	5 listes noires DNS, DNS passif CIRCL et AbuseIPDB si vous fournissez une clé.	5つのDNSブラックリスト、CIRCLパッシブDNS、キーがあればAbuseIPDB。	5 个 DNS 黑名单、CIRCL 被动 DNS，以及在你提供密钥时的 AbuseIPDB。	5 listas negras DNS, DNS passivo CIRCL e AbuseIPDB se fornecer chave.
settings.title	Settings	Ayarlar	Ajustes	Einstellungen	Paramètres	設定	设置	Definições
settings.tls	TLS certificate inspection	TLS sertifika denetimi	Inspección del certificado TLS	TLS-Zertifikatsprüfung	Inspection du certificat TLS	TLS証明書検査	TLS 证书检查	Inspeção do certificado TLS
settings.tls.detail	A single handshake to the target to read the chain: self-signed, expired, name mismatch.	Hedefe tek bir el sıkışma ile zinciri okur: kendinden imzalı, süresi dolmuş, ad uyuşmazlığı.	Un solo handshake al destino para leer la cadena: autofirmado, expirado, discrepancia.	Ein Handshake zum Ziel, um die Kette zu lesen: selbstsigniert, abgelaufen, Namenskonflikt.	Une seule poignée de main vers la cible pour lire la chaîne : auto-signé, expiré, non-concordance.	対象と1回ハンドシェイクしチェーンを読みます: 自己署名・失効・名称不一致。	与目标进行一次握手以读取证书链：自签名、过期、名称不匹配。	Um único handshake com o destino para ler a cadeia: autoassinado, expirado, discordância.
settings.vt	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal
settings.vt.detail	Only queried when you enter your own key; NetLurker never ships a shared one.	Yalnızca kendi anahtarınızı girerseniz sorgulanır; NetLurker asla ortak anahtar içermez.	Solo se consulta si introduce su propia clave; NetLurker nunca incluye una compartida.	Nur mit eigenem Schlüssel; NetLurker liefert nie einen gemeinsamen.	Interrogé uniquement avec votre propre clé ; NetLurker n'en fournit jamais.	自分のキーを入力した場合のみ照会します。共有キーは同梱しません。	仅在你输入自己的密钥时查询；NetLurker 从不内置共享密钥。	Apenas consultado com a sua própria chave; o NetLurker nunca inclui uma partilhada.
settings.vt_key	VirusTotal key	VirusTotal anahtarı	Clave de VirusTotal	VirusTotal-Schlüssel	Clé VirusTotal	VirusTotalキー	VirusTotal 密钥	Chave VirusTotal
sort.name	Name	Ad	Nombre	Name	Nom	名前	名称	Nome
sort.rate	Rate	Hız	Tasa	Rate	Débit	速度	速率	Débito
sort.traffic	Traffic	Trafik	Tráfico	Datenverkehr	Trafic	通信量	流量	Tráfego
status.disabled	turned off	kapalı	desactivado	deaktiviert	désactivé	オフ	已关闭	desativado
status.failed	lookup failed	sorgu başarısız	consulta fallida	Abfrage fehlgeschlagen	échec de la requête	照会失敗	查询失败	falha na consulta
status.idle	not started	başlatılmadı	sin iniciar	nicht gestartet	pas démarré	未開始	未开始	não iniciado
status.offline	offline	çevrimdışı	sin conexión	offline	hors ligne	オフライン	离线	sem ligação
status.ok	answer available	yanıt mevcut	respuesta disponible	Antwort verfügbar	réponse disponible	回答あり	有结果	resposta disponível
status.querying	querying…	sorgulanıyor…	consultando…	Abfrage läuft…	requête en cours…	照会中…	正在查询…	a consultar…
status.unavailable	not available on this device	bu cihazda kullanılamıyor	no disponible en este dispositivo	auf diesem Gerät nicht verfügbar	indisponible sur cet appareil	この端末では利用不可	此设备不可用	indisponível neste dispositivo
summary.no_data	Nothing to chart yet.	Gösterilecek veri yok.	Aún no hay datos para graficar.	Noch nichts darzustellen.	Rien à tracer pour l'instant.	表示するデータがありません。	暂无可绘制的数据。	Ainda não há dados para graficar.
summary.no_destinations	No destination has been investigated in this session.	Bu oturumda hiçbir hedef incelenmedi.	No se ha investigado ningún destino en esta sesión.	In dieser Sitzung wurde kein Ziel untersucht.	Aucune destination examinée pendant cette session.	このセッションで調査した接続先はありません。	本次会话尚未调查任何目标。	Nenhum destino foi investigado nesta sessão.
summary.no_geo	No geolocation answer yet — investigate a destination first.	Henüz konum yanıtı yok — önce bir hedef inceleyin.	Aún no hay geolocalización: investigue primero un destino.	Noch keine Geolokalisierung — untersuchen Sie zuerst ein Ziel.	Pas encore de géolocalisation — examinez d'abord une destination.	地理情報はまだありません。まず接続先を調査してください。	尚无地理位置结果——请先调查一个目标。	Ainda sem geolocalização — investigue primeiro um destino.
summary.no_orgs	No ownership answer yet.	Henüz sahiplik yanıtı yok.	Aún no hay datos de propiedad.	Noch keine Eigentumsdaten.	Pas encore de données de propriété.	所有者情報はまだありません。	尚无所有权信息。	Ainda sem dados de propriedade.
traffic.unsupported	TrafficStats is not supported on this device, so per-application counters are unavailable. NetLurker shows no invented numbers.	TrafficStats bu cihazda desteklenmiyor, bu yüzden uygulama başına sayaçlar kullanılamıyor. NetLurker uydurma sayı göstermez.	TrafficStats no es compatible con este dispositivo, así que no hay contadores por aplicación. NetLurker no muestra números inventados.	TrafficStats wird auf diesem Gerät nicht unterstützt; es gibt keine Zähler pro Anwendung. NetLurker zeigt keine erfundenen Zahlen.	TrafficStats n'est pas pris en charge sur cet appareil : aucun compteur par application. NetLurker n'affiche aucun nombre inventé.	この端末はTrafficStats非対応のためアプリ別カウンタは利用できません。NetLurkerは数値を捏造しません。	此设备不支持 TrafficStats，因此无法获取按应用计数。NetLurker 不显示编造的数字。	O TrafficStats não é suportado neste dispositivo, pelo que não há contadores por aplicação. O NetLurker não mostra números inventados.
value.no	no	hayır	no	nein	non	いいえ	否	não
value.yes	yes	evet	sí	ja	oui	はい	是	sim
verdict.findings	{count} findings	{count} bulgu	{count} hallazgos	{count} Befunde	{count} constats	所見 {count} 件	{count} 项发现	{count} achados
verdict.no_findings	No finding from the collected evidence	Toplanan kanıtlardan bulgu çıkmadı	Sin hallazgos en la evidencia recopilada	Kein Befund aus den gesammelten Belegen	Aucun constat sur les preuves recueillies	収集した証拠からの所見なし	已收集证据无发现	Sem achados nas evidências
wifi.ssid.hidden	hidden by Android	Android tarafından gizlendi	oculto por Android	von Android verborgen	masqué par Android	Androidにより非表示	被 Android 隐藏	oculto pelo Android
wifi.unavailable	No Wi-Fi service on this device.	Bu cihazda Wi-Fi hizmeti yok.	Este dispositivo no tiene servicio Wi-Fi.	Dieses Gerät hat keinen WLAN-Dienst.	Cet appareil n'a pas de service Wi-Fi.	この端末にWi-Fiサービスはありません。	此设备没有 Wi-Fi 服务。	Este dispositivo não tem serviço Wi-Fi.
signal.excellent	excellent	mükemmel	excelente	ausgezeichnet	excellent	非常に良い	极佳	excelente
signal.good	good	iyi	bueno	gut	bon	良い	良好	bom
signal.fair	fair	orta	regular	akzeptabel	correct	普通	一般	razoável
signal.weak	weak	zayıf	débil	schwach	faible	弱い	较弱	fraco
signal.very_weak	very weak	çok zayıf	muy débil	sehr schwach	très faible	非常に弱い	很弱	muito fraco
notif_channel_name	Network anomalies	Ağ anomalileri	Anomalías de red	Netzwerkanomalien	Anomalies réseau	ネットワーク異常	网络异常	Anomalias de rede
notif_channel_description	Raised when an application moves far above its measured baseline.	Bir uygulama ölçülen taban çizgisinin çok üzerine çıktığında gösterilir.	Se muestra cuando una aplicación supera mucho su línea base medida.	Erscheint, wenn eine Anwendung weit über ihrer gemessenen Basislinie liegt.	Émise lorsqu'une application dépasse largement sa référence mesurée.	アプリが測定済みベースラインを大きく超えた際に通知します。	当某应用远超其测得基线时提醒。	Emitida quando uma aplicação excede muito a sua linha base medida.
notif_anomaly_title	Traffic anomaly	Trafik anomalisi	Anomalía de tráfico	Datenverkehrsanomalie	Anomalie de trafic	通信異常	流量异常	Anomalia de tráfego
notif_anomaly_body	{subject} is at {current} against a baseline of {baseline} (+{percent}%).	{subject} uygulaması {baseline} taban çizgisine karşı {current} ({percent}% artış).	{subject} está en {current} frente a una línea base de {baseline} (+{percent}%).	{subject} liegt bei {current} gegenüber einer Basislinie von {baseline} (+{percent}%).	{subject} atteint {current} pour une référence de {baseline} (+{percent}%).	{subject} はベースライン {baseline} に対し {current}（+{percent}%）。	{subject} 当前 {current}，基线 {baseline}（+{percent}%）。	{subject} está em {current} contra uma linha base de {baseline} (+{percent}%).
risk.port_suspicious	{arg0} — {arg1}	{arg0} — {arg1}	{arg0} — {arg1}	{arg0} — {arg1}	{arg0} — {arg1}	{arg0} — {arg1}	{arg0} — {arg1}	{arg0} — {arg1}
risk.port_unknown_service	{arg0} is not a known service port (T1571)	{arg0} bilinen bir servis portu değil (T1571)	{arg0} no es un puerto de servicio conocido (T1571)	{arg0} ist kein bekannter Dienst-Port (T1571)	{arg0} n'est pas un port de service connu (T1571)	{arg0} は既知のサービスポートではありません (T1571)	{arg0} 不是已知服务端口（T1571）	{arg0} não é uma porta de serviço conhecida (T1571)
risk.port_rare_privileged	{arg0} is a rarely used privileged port (T1571)	{arg0} nadiren kullanılan ayrıcalıklı bir port (T1571)	{arg0} es un puerto privilegiado de uso raro (T1571)	{arg0} ist ein selten genutzter privilegierter Port (T1571)	{arg0} est un port privilégié rarement utilisé (T1571)	{arg0} は稀にしか使われない特権ポートです (T1571)	{arg0} 是少见的特权端口（T1571）	{arg0} é uma porta privilegiada raramente usada (T1571)
risk.proxy_or_vpn	Destination is flagged as a proxy, VPN or Tor exit node (T1090)	Hedef proxy, VPN veya Tor çıkış düğümü olarak işaretli (T1090)	El destino está marcado como proxy, VPN o nodo de salida Tor (T1090)	Das Ziel ist als Proxy, VPN oder Tor-Exit gekennzeichnet (T1090)	La destination est signalée comme proxy, VPN ou nœud de sortie Tor (T1090)	接続先はプロキシ/VPN/Tor出口として検出されました (T1090)	目标被标记为代理、VPN 或 Tor 出口节点（T1090）	O destino está marcado como proxy, VPN ou nó de saída Tor (T1090)
risk.tor_exit	Destination flagged as a Tor exit node	Hedef Tor çıkış düğümü olarak işaretli	Destino marcado como nodo de salida Tor	Ziel als Tor-Exit-Node gekennzeichnet	Destination signalée comme nœud de sortie Tor	Tor出口ノードとして検出	目标被标记为 Tor 出口节点	Destino marcado como nó de saída Tor
risk.datacenter_no_rdns	Datacenter IP without reverse DNS	Ters DNS kaydı olmayan veri merkezi IP'si	IP de centro de datos sin DNS inverso	Rechenzentrums-IP ohne Reverse-DNS	IP de centre de données sans DNS inverse	逆引きDNSのないデータセンターIP	无反向 DNS 的数据中心 IP	IP de centro de dados sem DNS reverso
risk.abuse_score_high	AbuseIPDB abuse score {arg0}/100 with {arg1} reports	AbuseIPDB kötüye kullanım puanı {arg0}/100, {arg1} şikayet	Puntuación de abuso {arg0}/100 con {arg1} reportes	AbuseIPDB-Wert {arg0}/100 mit {arg1} Meldungen	Score d'abus AbuseIPDB {arg0}/100 avec {arg1} signalements	AbuseIPDB悪用スコア {arg0}/100、報告 {arg1} 件	AbuseIPDB 滥用评分 {arg0}/100，{arg1} 次举报	Pontuação de abuso {arg0}/100 com {arg1} relatórios
risk.abuse_score_medium	AbuseIPDB abuse score {arg0}/100	AbuseIPDB kötüye kullanım puanı {arg0}/100	Puntuación de abuso {arg0}/100	AbuseIPDB-Wert {arg0}/100	Score d'abus AbuseIPDB {arg0}/100	AbuseIPDB悪用スコア {arg0}/100	AbuseIPDB 滥用评分 {arg0}/100	Pontuação de abuso {arg0}/100
risk.abuse_score_low	AbuseIPDB low-to-medium abuse score ({arg0}/100)	AbuseIPDB düşük-orta kötüye kullanım puanı ({arg0}/100)	Puntuación de abuso baja-media ({arg0}/100)	Niedriger bis mittlerer AbuseIPDB-Wert ({arg0}/100)	Score d'abus faible à moyen ({arg0}/100)	AbuseIPDB悪用スコアは低〜中 ({arg0}/100)	AbuseIPDB 滥用评分较低（{arg0}/100）	Pontuação de abuso baixa a média ({arg0}/100)
risk.dnsbl_listed	Listed on DNS blacklists: {arg0}	DNS kara listelerinde kayıtlı: {arg0}	Incluido en listas negras DNS: {arg0}	Auf DNS-Blacklists geführt: {arg0}	Inscrit sur les listes noires DNS : {arg0}	DNSブラックリストに掲載: {arg0}	列于 DNS 黑名单：{arg0}	Consta em listas negras DNS: {arg0}
risk.passive_dns_many	{arg0} passive DNS records for this address	Bu adres için {arg0} pasif DNS kaydı	{arg0} registros de DNS pasivo para esta dirección	{arg0} passive DNS-Einträge für diese Adresse	{arg0} enregistrements DNS passifs pour cette adresse	このアドレスのパッシブDNS記録 {arg0} 件	该地址有 {arg0} 条被动 DNS 记录	{arg0} registos de DNS passivo para este endereço
risk.cert_self_signed_datacenter	Self-signed certificate on a datacenter IP — no public CA	Veri merkezi IP'sinde kendinden imzalı sertifika — kamuya açık CA yok	Certificado autofirmado en IP de centro de datos, sin CA pública	Selbstsigniertes Zertifikat auf einer Rechenzentrums-IP — keine öffentliche CA	Certificat auto-signé sur une IP de centre de données — aucune AC publique	データセンターIPで自己署名証明書 — 公的CAなし	数据中心 IP 上的自签名证书——无公共 CA	Certificado autoassinado num IP de centro de dados — sem AC pública
risk.cert_self_signed	The remote server uses a self-signed certificate	Uzak sunucu kendinden imzalı sertifika kullanıyor	El servidor remoto usa un certificado autofirmado	Der entfernte Server verwendet ein selbstsigniertes Zertifikat	Le serveur distant utilise un certificat auto-signé	リモートサーバは自己署名証明書を使用	远端服务器使用自签名证书	O servidor remoto usa um certificado autoassinado
risk.cert_expired	The remote server's TLS certificate has expired	Uzak sunucunun TLS sertifikasının süresi dolmuş	El certificado TLS del servidor remoto ha expirado	Das TLS-Zertifikat des Servers ist abgelaufen	Le certificat TLS du serveur distant a expiré	リモートサーバのTLS証明書は失効	远端服务器的 TLS 证书已过期	O certificado TLS do servidor remoto expirou
risk.cert_not_yet_valid	The remote server's TLS certificate is not yet valid	Uzak sunucunun TLS sertifikası henüz geçerli değil	El certificado TLS del servidor remoto aún no es válido	Das TLS-Zertifikat des Servers ist noch nicht gültig	Le certificat TLS du serveur distant n'est pas encore valide	リモートサーバのTLS証明書はまだ有効でない	远端服务器的 TLS 证书尚未生效	O certificado TLS do servidor remoto ainda não é válido
risk.cert_name_mismatch	The reverse DNS name does not match the certificate name	Ters DNS adı sertifika adıyla eşleşmiyor	El nombre del DNS inverso no coincide con el del certificado	Der Reverse-DNS-Name passt nicht zum Zertifikatsnamen	Le nom du DNS inverse ne correspond pas au nom du certificat	逆引きDNS名が証明書名と一致しない	反向 DNS 名称与证书名称不匹配	O nome do DNS reverso não corresponde ao nome do certificado
risk.vt_malicious_high	VirusTotal: {arg0}/{arg1} engines flagged this address as malicious	VirusTotal: {arg0}/{arg1} motor bu adresi kötü amaçlı işaretledi	VirusTotal: {arg0}/{arg1} motores marcaron esta dirección como maliciosa	VirusTotal: {arg0}/{arg1} Engines stufen die Adresse als bösartig ein	VirusTotal : {arg0}/{arg1} moteurs signalent cette adresse comme malveillante	VirusTotal: {arg0}/{arg1} エンジンが悪意ありと判定	VirusTotal：{arg0}/{arg1} 个引擎判定为恶意	VirusTotal: {arg0}/{arg1} motores marcaram este endereço como malicioso
risk.vt_malicious_low	VirusTotal: {arg0}/{arg1} engines flagged this address as malicious	VirusTotal: {arg0}/{arg1} motor bu adresi kötü amaçlı işaretledi	VirusTotal: {arg0}/{arg1} motores marcaron esta dirección como maliciosa	VirusTotal: {arg0}/{arg1} Engines stufen die Adresse als bösartig ein	VirusTotal : {arg0}/{arg1} moteurs signalent cette adresse comme malveillante	VirusTotal: {arg0}/{arg1} エンジンが悪意ありと判定	VirusTotal：{arg0}/{arg1} 个引擎判定为恶意	VirusTotal: {arg0}/{arg1} motores marcaram este endereço como malicioso
risk.vt_suspicious	VirusTotal: {arg0} engines flagged this address as suspicious	VirusTotal: {arg0} motor bu adresi şüpheli işaretledi	VirusTotal: {arg0} motores marcaron esta dirección como sospechosa	VirusTotal: {arg0} Engines stufen die Adresse als verdächtig ein	VirusTotal : {arg0} moteurs signalent cette adresse comme suspecte	VirusTotal: {arg0} エンジンが不審と判定	VirusTotal：{arg0} 个引擎判定为可疑	VirusTotal: {arg0} motores marcaram este endereço como suspeito
risk.banner_eol	Server software is end-of-life: {arg0}	Sunucu yazılımı desteklenmiyor: {arg0}	El software del servidor está obsoleto: {arg0}	Die Server-Software wird nicht mehr unterstützt: {arg0}	Le logiciel serveur est en fin de vie : {arg0}	サーバソフトウェアはサポート終了: {arg0}	服务器软件已停止支持：{arg0}	O software do servidor está em fim de vida: {arg0}
risk.registration_young	The address block was registered only {arg0} days ago	Adres bloğu yalnızca {arg0} gün önce kaydedilmiş	El bloque se registró hace solo {arg0} días	Der Adressbereich wurde erst vor {arg0} Tagen registriert	Le bloc n'a été enregistré qu'il y a {arg0} jours	アドレスブロックは {arg0} 日前に登録	该地址块仅在 {arg0} 天前注册	O bloco foi registado há apenas {arg0} dias
risk.app_traffic_anomaly	{arg0} is moving {arg1}, {arg2} above its measured baseline	{arg0} uygulaması {arg1} taşıyor; ölçülen taban çizgisinin {arg2} üzerinde	{arg0} mueve {arg1}, un {arg2} por encima de su línea base medida	{arg0} bewegt {arg1}, {arg2} über der gemessenen Basislinie	{arg0} déplace {arg1}, soit {arg2} au-dessus de sa référence mesurée	{arg0} は {arg1} を通信しており、測定ベースラインを {arg2} 超過	{arg0} 正在传输 {arg1}，超出测得基线 {arg2}	{arg0} move {arg1}, {arg2} acima da sua linha base medida
risk.mit_private_network	Private address — the score is reduced	Yerel adres — puan düşürüldü	Dirección privada — se reduce la puntuación	Private Adresse — die Bewertung wurde gesenkt	Adresse privée — le score est réduit	プライベートアドレス — スコアを減点	私有地址——已降低评分	Endereço privado — a pontuação foi reduzida
risk.mit_common_web_port	Standard web port {arg0}	Standart web portu {arg0}	Puerto web estándar {arg0}	Standard-Webport {arg0}	Port web standard {arg0}	標準的なWebポート {arg0}	标准 Web 端口 {arg0}	Porta web padrão {arg0}
risk.mit_rdap_known_org	Owned by {arg0}	{arg0} kuruluşuna ait	Propiedad de {arg0}	Gehört {arg0}	Appartient à {arg0}	{arg0} が所有	由 {arg0} 持有	Pertence a {arg0}
risk.mit_clean_all_sources	{arg0} sources answered with no adverse finding	{arg0} kaynak olumsuz bulgu olmadan yanıt verdi	{arg0} fuentes respondieron sin hallazgos adversos	{arg0} Quellen antworteten ohne Befund	{arg0} sources ont répondu sans élément défavorable	{arg0} 件の情報源が有害所見なしで応答	{arg0} 个来源应答且无不利发现	{arg0} fontes responderam sem achados adversos
risk.mit_evidence_incomplete	Still querying: {arg0}	Hâlâ sorgulanıyor: {arg0}	Aún consultando: {arg0}	Noch laufend: {arg0}	Requête en cours : {arg0}	照会中: {arg0}	仍在查询：{arg0}	Ainda a consultar: {arg0}
risk.level.safe	SAFE	GÜVENLİ	SEGURO	SICHER	SÛR	安全	安全	SEGURO
risk.level.info	INFO	BİLGİ	INFO	INFO	INFO	情報	信息	INFO
risk.level.warn	SUSPICIOUS	ŞÜPHELİ	SOSPECHOSO	VERDÄCHTIG	SUSPECT	不審	可疑	SUSPEITO
risk.level.danger	CRITICAL	KRİTİK	CRÍTICO	KRITIS	CRITIQUE	危険	危险	CRÍTICO
geo.status.idle	not queried	henüz sorgulanmadı	sin consultar	nicht abgefragt	pas interrogé	未照会	未查询	não consultado
geo.status.pending	querying…	sorgulanıyor…	consultando…	Abfrage läuft…	requête en cours…	照会中…	正在查询…	a consultar…
geo.status.ok	ok	tamam	ok	ok	ok	OK	正常	ok
geo.status.failed	lookup failed	sorgu başarısız	consulta fallida	Abfrage fehlgeschlagen	échec	照会失敗	查询失败	falhou
geo.status.offline	offline	çevrimdışı	sin conexión	offline	hors ligne	オフライン	离线	sem ligação
geo.status.disabled	turned off	kapalı	desactivado	deaktiviert	désactivé	オフ	已关闭	desativado
geo.status.unavailable	not applicable	geçerli değil	no aplicable	nicht zutreffend	non applicable	対象外	不适用	não aplicável
kpi.session_down	Session download	Oturum indirmesi	Descarga de la sesión	Sitzungs-Download	Téléchargement de la session	セッション受信	会话下载	Download da sessão
kpi.session_up	Session upload	Oturum yüklemesi	Subida de la sesión	Sitzungs-Upload	Envoi de la session	セッション送信	会话上传	Upload da sessão
source.rdns	rDNS	ters DNS	DNS inv.	Reverse-DNS	DNS inv.	逆引き	反向DNS	DNS rev.
source.geo	geo	konum	geo	Geo	géo	地理	地理	geo
source.threat	threat	tehdit	amenazas	Threat	menaces	脅威	威胁	ameaças
source.cert	TLS	TLS	TLS	TLS	TLS	TLS	TLS	TLS
source.banner	HTTP	HTTP	HTTP	HTTP	HTTP	HTTP	HTTP	HTTP
